sample_id,medicine,batch_id,manufacturer,measurement_id,ch450,ch500,ch550,ch570,ch600,ch650
C001,caffeine,B001,ASD_public_dataset,1,0.2300577761904761,0.2247789190476191,0.2221102142857142,0.2216854476190476,0.2213067761904761,0.2210775095238095
C002,cocaine,B002,ASD_public_dataset,1,0.2621094190476191,0.2431655571428571,0.2322692904761905,0.2296608190476191,0.2269496047619047,0.2247503714285714
C003,cocaine,B003,ASD_public_dataset,1,0.2893171904761905,0.2669619,0.2546314333333334,0.2518499285714285,0.2489780666666666,0.2463200380952381
P001,paracetamol,B004,ASD_public_dataset,1,0.1583358285714285,0.1575952380952381,0.1571594809523809,0.1570332476190476,0.1567527142857142,0.1567412523809523
C004,cocaine,B005,ASD_public_dataset,1,0.2124137285714285,0.2053293714285714,0.2017549523809524,0.2010211047619047,0.2001452047619048,0.1992278904761904
C005,cocaine,B006,ASD_public_dataset,1,0.189473019047619,0.1790894666666667,0.173908280952381,0.1727720333333333,0.1714969142857142,0.1705059523809523
C006,cocaine,B007,ASD_public_dataset,1,0.2187994238095238,0.2043462952380952,0.1962605285714285,0.1942976095238095,0.1920662523809523,0.1900928333333333
C007,cocaine,B008,ASD_public_dataset,1,0.2577004571428571,0.2428404571428571,0.2346756476190476,0.2328305666666666,0.2308000476190476,0.2288200095238095
C008,cocaine,B009,ASD_public_dataset,1,0.2641792142857143,0.2474295380952381,0.2378695428571429,0.2356010190476191,0.2330256857142857,0.2302060999999999
C009,cocaine,B010,ASD_public_dataset,1,0.2640567666666666,0.2470573047619047,0.2378491095238095,0.2358012238095238,0.2336568476190475,0.2319323666666667
C010,cocaine,B011,ASD_public_dataset,1,0.2319374380952381,0.2117089714285713,0.1999709285714285,0.1970426571428571,0.1938526285714286,0.190828219047619
C011,cocaine,B012,ASD_public_dataset,1,0.1902961523809523,0.1852963380952381,0.1830601428571428,0.1826755142857143,0.1822376047619047,0.182131819047619
C012,cocaine,B013,ASD_public_dataset,1,0.2600533666666667,0.2387428857142856,0.2263873809523809,0.2233275714285714,0.2200027952380952,0.2169940619047619
C013,cocaine,B014,ASD_public_dataset,1,0.2785460571428571,0.2550707285714285,0.241162419047619,0.2377380809523809,0.2340855095238095,0.2306702666666666
C014,cocaine,B015,ASD_public_dataset,1,0.2071106809523809,0.1849066952380952,0.1728386428571428,0.169990519047619,0.1670862380952381,0.1648479619047619
L001,lidocaine,B016,ASD_public_dataset,1,0.2179838904761904,0.2139318333333333,0.2123597333333333,0.2121473809523809,0.2118388142857143,0.2118926809523809
C015,cocaine,B017,ASD_public_dataset,1,0.3056537238095239,0.2954174380952381,0.2905875285714286,0.2897594619047619,0.288781238095238,0.2877019428571429
C016,cocaine,B018,ASD_public_dataset,1,0.2452689809523809,0.2334552952380952,0.227912438095238,0.2268473619047618,0.2257236857142857,0.2251859809523809
C017,cocaine,B019,ASD_public_dataset,1,0.2559056857142857,0.2424821857142857,0.2357366619047619,0.2342852142857143,0.2326387714285714,0.2309699428571429
C018,cocaine,B020,ASD_public_dataset,1,0.2695253333333333,0.2537793857142857,0.2460980571428571,0.2445494571428571,0.2429271809523809,0.2417137047619047
C019,cocaine,B021,ASD_public_dataset,1,0.2575023380952381,0.2388082904761904,0.2294260619047619,0.2274821190476191,0.2255185666666666,0.2241551761904762
C020,cocaine,B022,ASD_public_dataset,1,0.2442236904761905,0.2247886,0.2145199904761904,0.212189,0.2097867571428571,0.2078392428571428
C021,cocaine,B023,ASD_public_dataset,1,0.1993359571428571,0.1939767047619047,0.1912084476190476,0.1906605571428571,0.1900726761904762,0.1900713476190476
C022,cocaine,B024,ASD_public_dataset,1,0.2809754333333333,0.2584067666666667,0.2456476285714285,0.2427169523809523,0.239579238095238,0.236508138095238
C023,cocaine,B025,ASD_public_dataset,1,0.2953055238095238,0.2733537714285714,0.2612359285714286,0.2585546666666666,0.2557749047619047,0.2531594523809523
C024,cocaine,B026,ASD_public_dataset,1,0.2649379238095238,0.2435418142857142,0.2315994428571429,0.2288809809523809,0.2260672619047618,0.2237043476190476
C025,cocaine,B027,ASD_public_dataset,1,0.2904573095238096,0.2669313857142857,0.2531252428571428,0.2498803714285715,0.2464577666666667,0.2429783523809523
P002,phenacetine,B028,ASD_public_dataset,1,0.4037157523809524,0.4017311,0.4004183238095238,0.3992778904761905,0.3967484666666666,0.3934308952380952
C026,cocaine,B029,ASD_public_dataset,1,0.3704473238095238,0.3638554904761905,0.3605278095238095,0.358771319047619,0.3556415619047618,0.3515728047619047
C027,cocaine,B030,ASD_public_dataset,1,0.3057018047619048,0.2954243952380952,0.2911055428571428,0.2898510761904762,0.2879433095238096,0.2860925476190476
C028,cocaine,B031,ASD_public_dataset,1,0.2576360285714285,0.2445289333333333,0.2387747904761904,0.2371142428571428,0.2348391761904762,0.2326849666666666
C029,cocaine,B032,ASD_public_dataset,1,0.3093415095238095,0.2927812857142857,0.2852923095238095,0.283441319047619,0.2810558523809524,0.2786446142857142
C030,cocaine,B033,ASD_public_dataset,1,0.319224719047619,0.2985223428571428,0.2875315714285714,0.2846063333333332,0.2809867476190477,0.2771106333333333
C031,cocaine,B034,ASD_public_dataset,1,0.1962116047619047,0.1897488809523809,0.186207819047619,0.1854610714285714,0.1846743523809524,0.1843417809523809
C032,cocaine,B035,ASD_public_dataset,1,0.2592404238095239,0.2394011523809523,0.2295717047619047,0.2271808857142857,0.2243773523809523,0.2217362380952381
C033,cocaine,B036,ASD_public_dataset,1,0.2551815857142857,0.2348519619047619,0.2241846285714286,0.2215512857142857,0.2185182238095238,0.2157291333333332
C034,cocaine,B037,ASD_public_dataset,1,0.2552915190476191,0.2337048380952381,0.2215190047619047,0.2184710761904761,0.2150779857142857,0.2120234190476189
C035,cocaine,B038,ASD_public_dataset,1,0.3179046571428571,0.2938359571428572,0.2792695619047619,0.2757668714285715,0.2718395285714285,0.2677412952380952
C036,cocaine,B039,ASD_public_dataset,1,0.2610999523809524,0.2392533428571428,0.2267568142857143,0.2236967095238095,0.2204622619047619,0.217530319047619
P003,procaine,B040,ASD_public_dataset,1,0.2884329571428571,0.2589143952380952,0.2411004476190476,0.236514319047619,0.230742880952381,0.2255158952380952
C037,cocaine,B041,ASD_public_dataset,1,0.2982462619047619,0.2674644095238094,0.2489040857142856,0.2443114857142857,0.2384727238095238,0.2336668
C038,cocaine,B042,ASD_public_dataset,1,0.3049694,0.2746637809523808,0.2569573571428571,0.2526113285714286,0.2471849761904761,0.2428301285714285
C039,cocaine,B043,ASD_public_dataset,1,0.268932,0.238747319047619,0.2214808952380952,0.2171447761904761,0.2117670333333333,0.2075458619047619
C040,cocaine,B044,ASD_public_dataset,1,0.306704638095238,0.2743737619047618,0.2555319666666666,0.250743619047619,0.2448432,0.2398299047619047
C041,cocaine,B045,ASD_public_dataset,1,0.2107252999999999,0.2037324809523809,0.1999639619047619,0.1992078952380952,0.1984470666666666,0.1981448238095238
C042,cocaine,B046,ASD_public_dataset,1,0.3160879523809524,0.2856597857142857,0.2681716904761904,0.2636869238095238,0.2581788714285714,0.2533428142857142
C043,cocaine,B047,ASD_public_dataset,1,0.2868320761904762,0.255725719047619,0.2391042619047619,0.2350119952380952,0.2302793666666666,0.2267013619047618
C044,cocaine,B048,ASD_public_dataset,1,0.2184788904761904,0.1890205714285714,0.1733141619047619,0.1693724857142857,0.1647770857142857,0.1615021095238095
C045,cocaine,B049,ASD_public_dataset,1,0.3637780142857143,0.3320664952380952,0.3155296714285714,0.3114809333333332,0.3068713380952381,0.3024432380952381
C046,cocaine,B050,ASD_public_dataset,1,0.2260015666666666,0.1996148,0.1857177428571428,0.1822157523809523,0.1783933904761904,0.1756828619047618
C047,cocaine,B051,ASD_public_dataset,1,0.2544098619047619,0.233872738095238,0.2220681476190475,0.2191749761904762,0.2162824952380952,0.2136728047619047
I001,inositol,B052,ASD_public_dataset,1,0.3383718666666667,0.3253861857142857,0.3175181619047618,0.3156007142857143,0.3131742952380952,0.310355
C048,cocaine,B053,ASD_public_dataset,1,0.2935697523809524,0.2777917333333333,0.2687401285714286,0.2665116619047619,0.2638720238095238,0.2611880666666666
C049,cocaine,B054,ASD_public_dataset,1,0.2603603809523809,0.2423429857142857,0.2322102047619048,0.2296688666666666,0.2268207476190476,0.2242241428571428
C050,cocaine,B055,ASD_public_dataset,1,0.3019132904761904,0.2832940761904762,0.2729517952380952,0.2705100142857142,0.2677442619047619,0.2647871380952381
C051,cocaine,B056,ASD_public_dataset,1,0.2105525285714286,0.2010748142857142,0.1960159809523809,0.1949368095238095,0.1939018238095237,0.1933836952380952
C052,cocaine,B057,ASD_public_dataset,1,0.3246034952380953,0.3044344761904762,0.2932514095238095,0.2907172857142856,0.2880395,0.2852704952380953
C053,cocaine,B058,ASD_public_dataset,1,0.2864135190476191,0.2667459761904761,0.2555097952380952,0.2528460666666667,0.2499552666666666,0.2469495571428571
C054,cocaine,B059,ASD_public_dataset,1,0.2674362476190476,0.2470942333333333,0.2356037523809523,0.2328695619047619,0.2299752714285715,0.2271020380952381
C055,cocaine,B060,ASD_public_dataset,1,0.2205020714285714,0.1995387142857143,0.1874832857142856,0.1845372428571428,0.181462619047619,0.178947119047619
C056,cocaine,B061,ASD_public_dataset,1,0.2308918523809524,0.2110906142857143,0.1994146714285714,0.1964759476190475,0.1933560761904761,0.1906831809523809
C057,cocaine,B062,ASD_public_dataset,1,0.2467100095238095,0.2258357380952381,0.2132615904761904,0.2100116714285714,0.2065399571428571,0.2031941904761905
C058,cocaine,B063,ASD_public_dataset,1,0.2922281142857142,0.271783480952381,0.2592781714285714,0.2560548666666667,0.2525933761904761,0.2491385238095238
M001,mannitol,B064,ASD_public_dataset,1,0.226020919047619,0.2250427428571428,0.2246922714285713,0.2246154571428571,0.2244406476190475,0.2249469904761904
C059,cocaine,B065,ASD_public_dataset,1,0.2643337571428571,0.2580484238095238,0.2548962333333333,0.2542393666666667,0.2534933857142857,0.2528674904761905
C060,cocaine,B066,ASD_public_dataset,1,0.2396748142857142,0.2288015476190476,0.2238095857142857,0.2227230666666666,0.2215811857142857,0.2208094523809523
C061,cocaine,B067,ASD_public_dataset,1,0.2087224619047619,0.1961671952380952,0.1893587380952381,0.1878175666666666,0.1862973333333333,0.1853918
C062,cocaine,B068,ASD_public_dataset,1,0.3182990380952381,0.304182119047619,0.2974610476190475,0.2961274428571429,0.2948017666666667,0.2935586380952381
C063,cocaine,B069,ASD_public_dataset,1,0.2694547523809524,0.2526977142857143,0.2445568047619047,0.2428356904761905,0.2412029571428571,0.2398363238095238
C064,cocaine,B070,ASD_public_dataset,1,0.3188097571428572,0.3010168714285714,0.2914371952380952,0.2893423476190476,0.2872000761904761,0.2850381428571428
C065,cocaine,B071,ASD_public_dataset,1,0.322493138095238,0.3025074285714285,0.2919747476190475,0.2897094095238095,0.2874289095238095,0.2851706142857144
C066,cocaine,B072,ASD_public_dataset,1,0.2795759761904762,0.2601727333333333,0.2491268761904762,0.2464660333333332,0.2436968857142857,0.2409817666666666
C067,cocaine,B073,ASD_public_dataset,1,0.2790116333333333,0.2595704,0.2478775809523809,0.2450236190476191,0.2420038857142857,0.2389188714285714
C068,cocaine,B074,ASD_public_dataset,1,0.3120735476190476,0.2907571571428571,0.277849319047619,0.2747259428571428,0.2714316142857143,0.2679348238095238
C069,cocaine,B075,ASD_public_dataset,1,0.2457612380952381,0.2264189428571428,0.2148954142857142,0.2120503047619047,0.2090915190476191,0.206410119047619
L002,levamisol,B076,ASD_public_dataset,1,0.3320280523809524,0.3289858,0.3272508714285714,0.3271263571428571,0.3269029238095238,0.326143780952381
C070,cocaine,B077,ASD_public_dataset,1,0.2735147523809524,0.2657708952380952,0.2624074571428571,0.2618680285714286,0.2613041761904762,0.2607231761904762
C071,cocaine,B078,ASD_public_dataset,1,0.3075200761904762,0.2910511428571428,0.2815413904761905,0.2794204809523809,0.2771853047619047,0.2750282380952381
C072,cocaine,B079,ASD_public_dataset,1,0.3331669142857143,0.3189190380952381,0.3124365809523809,0.3113196714285714,0.3103213999999999,0.309053538095238
C073,cocaine,B080,ASD_public_dataset,1,0.3017203476190476,0.2856035952380952,0.2783404190476191,0.2770477809523809,0.2758646761904762,0.2744578333333334
C074,cocaine,B081,ASD_public_dataset,1,0.2413250047619047,0.2224406761904762,0.2134460523809524,0.2115455142857142,0.2096563857142857,0.2078114523809523
C075,cocaine,B082,ASD_public_dataset,1,0.2815178904761904,0.2611631952380952,0.2509865142857143,0.2489198238095238,0.2469946428571428,0.2451060619047619
C076,cocaine,B083,ASD_public_dataset,1,0.3047104428571429,0.282431,0.2702286857142856,0.2675203380952381,0.2648008333333334,0.2619650428571428
C077,cocaine,B084,ASD_public_dataset,1,0.2742764952380953,0.2529679380952381,0.2411444619047618,0.2384360380952381,0.2356656999999999,0.2329066857142857
C078,cocaine,B085,ASD_public_dataset,1,0.2574216809523809,0.2359887047619047,0.2237451666666666,0.2208521666666666,0.2179411047619047,0.2151941619047619
C079,cocaine,B086,ASD_public_dataset,1,0.2698477285714286,0.2488095857142857,0.2369089095238095,0.2341532,0.2313962333333333,0.2289107
C080,cocaine,B087,ASD_public_dataset,1,0.3116114714285715,0.2920108952380952,0.2819677714285714,0.2798470857142857,0.2776677428571429,0.2753528904761905
C081,cocaine,B088,ASD_public_dataset,1,0.2932305571428572,0.2753494523809524,0.2647707857142857,0.2622669238095237,0.2595178857142857,0.2567826047619047
M002,MDMA,B089,ASD_public_dataset,1,0.2866937380952381,0.2636455142857142,0.252822880952381,0.2498849571428571,0.2455732285714285,0.2389329904761905
M003,MDMA,B090,ASD_public_dataset,1,0.5897856333333332,0.5688701904761905,0.5572380761904763,0.5541892095238096,0.5465252666666666,0.5368617238095238
M004,MDMA,B091,ASD_public_dataset,1,0.4870793619047619,0.4327078904761905,0.3958358904761905,0.3824145714285714,0.3651357333333333,0.3496442380952381
C082,2C-B,B092,ASD_public_dataset,1,0.9731272333333332,0.6518082619047619,0.6329071857142857,0.7056446952380953,0.8130349666666667,0.8750604476190479
M005,4-MMC,B093,ASD_public_dataset,1,0.8318175476190477,0.7489054238095239,0.6184276095238095,0.5676334571428572,0.5183851047619048,0.4703740476190476
C083,2C-B,B094,ASD_public_dataset,1,0.981623957142857,0.914639157142857,0.8228692142857141,0.7866909523809523,0.7474966476190477,0.7177288047619049
C084,2C-B,B095,ASD_public_dataset,1,0.9771445047619048,0.9259435666666668,0.8638345095238097,0.8311046619047618,0.7883154190476191,0.7543410952380953
C085,2C-B isomer,B096,ASD_public_dataset,1,0.8344968476190476,0.9201270952380954,0.9400768714285712,0.8262599047619048,0.5398153047619049,0.4483134952380953
