measurement_id,timestamp,temperature_C,ch450,ch500,ch550,ch570,ch600,ch650
1,2026-08-17T23:47:21.495841,34,0.0,0.0,0.0,0.0,0.0,0.0
2,2026-08-17T23:47:22.081318,34,0.0,0.0,0.0,0.0,0.0,0.0
3,2026-08-17T23:47:22.663548,34,0.0,0.0,0.0,0.0,0.0,0.0
4,2026-08-17T23:47:23.246225,34,0.0,0.0,0.0,0.0,0.0,0.0
5,2026-08-17T23:47:23.831999,34,0.0,0.0,0.0,0.0,0.0,0.0
6,2026-08-17T23:47:24.467065,34,0.0,0.0,0.0,0.0,0.0,0.0
7,2026-08-17T23:47:25.107791,34,0.0,0.0,0.0,0.0,0.0,0.0
8,2026-08-17T23:47:25.747267,34,0.0,0.0,0.0,0.0,0.0,0.0
9,2026-08-17T23:47:26.382857,34,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-08-17T23:47:27.020620,34,0.0,0.0,0.0,0.0,0.0,0.0
11,2026-08-17T23:47:27.663133,34,0.0,0.0,0.0,0.0,0.0,0.0
12,2026-08-17T23:47:28.303744,34,0.0,0.0,0.0,0.0,0.0,0.0
13,2026-08-17T23:47:28.947353,34,0.0,0.0,0.0,0.0,0.0,0.0
14,2026-08-17T23:47:29.589217,34,0.0,0.0,0.0,0.0,0.0,0.0
15,2026-08-17T23:47:30.228987,34,0.0,0.0,0.0,0.0,0.0,0.0
16,2026-08-17T23:47:30.870452,34,0.0,0.0,0.0,0.0,0.0,0.0
17,2026-08-17T23:47:31.512123,34,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-17T23:47:32.152043,34,0.0,0.0,0.0,0.0,0.0,0.0
19,2026-08-17T23:47:32.794645,34,0.0,0.0,0.0,0.0,0.0,0.0
20,2026-08-17T23:47:33.431908,34,0.0,0.0,0.0,0.0,0.0,0.0
