sample_id,medicine,batch_id,manufacturer,measurement_id,timestamp,temperature_C,ch450,ch500,ch550,ch570,ch600,ch650
OS001,Ondansetron,B001,Zydus Cadila,1,2026-08-18T01:03:00.066794,34,32.3853035,14.679245,35.92089844,34.22209549,61.34761047,17.17093658
OS001,Ondansetron,B001,Zydus Cadila,2,2026-08-18T01:03:00.690935,34,32.3853035,14.679245,36.91870117,34.22209549,60.45851517,17.17093658
OS001,Ondansetron,B001,Zydus Cadila,3,2026-08-18T01:03:01.332967,35,33.54192352,14.679245,36.91870117,34.22209549,59.56941605,16.31238937
OS001,Ondansetron,B001,Zydus Cadila,4,2026-08-18T01:03:01.976188,34,33.54192352,14.679245,35.92089844,34.22209549,59.56941605,16.31238937
OS001,Ondansetron,B001,Zydus Cadila,5,2026-08-18T01:03:02.617695,35,33.54192352,14.679245,35.92089844,33.29717636,60.45851517,17.17093658
OS001,Ondansetron,B001,Zydus Cadila,6,2026-08-18T01:03:03.251193,34,32.3853035,14.679245,36.91870117,33.29717636,59.56941605,16.31238937
OS001,Ondansetron,B001,Zydus Cadila,7,2026-08-18T01:03:03.894883,34,32.3853035,14.679245,35.92089844,34.22209549,61.34761047,17.17093658
OS001,Ondansetron,B001,Zydus Cadila,8,2026-08-18T01:03:04.529847,34,32.3853035,14.679245,35.92089844,33.29717636,61.34761047,17.17093658
OS001,Ondansetron,B001,Zydus Cadila,9,2026-08-18T01:03:05.165590,35,32.3853035,14.679245,35.92089844,33.29717636,60.45851517,17.17093658
OS001,Ondansetron,B001,Zydus Cadila,10,2026-08-18T01:03:05.805377,35,32.3853035,14.679245,35.92089844,34.22209549,61.34761047,17.17093658
OS002,Ondansetron,B001,Zydus Cadila,11,2026-08-18T01:03:06.452676,35,33.54192352,14.679245,35.92089844,33.29717636,59.56941605,16.31238937
OS002,Ondansetron,B001,Zydus Cadila,12,2026-08-18T01:03:07.094909,35,33.54192352,14.679245,36.91870117,33.29717636,59.56941605,16.31238937
OS002,Ondansetron,B001,Zydus Cadila,13,2026-08-18T01:03:07.737942,35,32.3853035,14.679245,35.92089844,34.22209549,61.34761047,17.17093658
OS002,Ondansetron,B001,Zydus Cadila,14,2026-08-18T01:03:08.377263,35,32.3853035,14.679245,35.92089844,33.29717636,61.34761047,17.17093658
OS002,Ondansetron,B001,Zydus Cadila,15,2026-08-18T01:03:09.020726,35,32.3853035,14.679245,35.92089844,33.29717636,61.34761047,17.17093658
OS002,Ondansetron,B001,Zydus Cadila,16,2026-08-18T01:03:09.664245,35,32.3853035,14.679245,35.92089844,34.22209549,60.45851517,17.17093658
OS002,Ondansetron,B001,Zydus Cadila,17,2026-08-18T01:03:10.301531,35,33.54192352,14.679245,35.92089844,33.29717636,59.56941605,16.31238937
OS002,Ondansetron,B001,Zydus Cadila,18,2026-08-18T01:03:10.944140,35,33.54192352,14.679245,35.92089844,33.29717636,59.56941605,16.31238937
OS002,Ondansetron,B001,Zydus Cadila,19,2026-08-18T01:03:11.590393,35,32.3853035,14.679245,35.92089844,34.22209549,60.45851517,17.17093658
OS002,Ondansetron,B001,Zydus Cadila,20,2026-08-18T01:03:12.220716,35,32.3853035,14.679245,35.92089844,33.29717636,61.34761047,17.17093658
OS003,Ondansetron,B001,Zydus Cadila,21,2026-08-18T01:03:12.863454,35,32.3853035,14.679245,35.92089844,33.29717636,61.34761047,17.17093658
OS003,Ondansetron,B001,Zydus Cadila,22,2026-08-18T01:03:13.504263,35,33.54192352,14.679245,35.92089844,34.22209549,59.56941605,16.31238937
OS003,Ondansetron,B001,Zydus Cadila,23,2026-08-18T01:03:14.142220,35,33.54192352,14.679245,35.92089844,33.29717636,59.56941605,16.31238937
OS003,Ondansetron,B001,Zydus Cadila,24,2026-08-18T01:03:14.782483,35,32.3853035,14.679245,35.92089844,34.22209549,61.34761047,17.17093658
OS003,Ondansetron,B001,Zydus Cadila,25,2026-08-18T01:03:15.425704,35,32.3853035,14.679245,35.92089844,34.22209549,61.34761047,17.17093658
OS003,Ondansetron,B001,Zydus Cadila,26,2026-08-18T01:03:16.069118,35,32.3853035,14.679245,35.92089844,33.29717636,61.34761047,17.17093658
OS003,Ondansetron,B001,Zydus Cadila,27,2026-08-18T01:03:16.711387,35,32.3853035,14.679245,35.92089844,34.22209549,60.45851517,17.17093658
OS003,Ondansetron,B001,Zydus Cadila,28,2026-08-18T01:03:17.353308,35,33.54192352,14.679245,35.92089844,34.22209549,59.56941605,16.31238937
OS003,Ondansetron,B001,Zydus Cadila,29,2026-08-18T01:03:17.993962,35,33.54192352,14.679245,35.92089844,33.29717636,59.56941605,16.31238937
OS003,Ondansetron,B001,Zydus Cadila,30,2026-08-18T01:03:18.638510,35,32.3853035,14.679245,35.92089844,33.29717636,60.45851517,17.17093658
OS004,Ondansetron,B001,Zydus Cadila,31,2026-08-18T01:03:19.273439,35,32.3853035,14.679245,35.92089844,34.22209549,61.34761047,17.17093658
OS004,Ondansetron,B001,Zydus Cadila,32,2026-08-18T01:03:19.912387,35,32.3853035,14.679245,35.92089844,33.29717636,61.34761047,17.17093658
OS004,Ondansetron,B001,Zydus Cadila,33,2026-08-18T01:03:20.554263,35,32.3853035,14.679245,35.92089844,33.29717636,60.45851517,17.17093658
OS004,Ondansetron,B001,Zydus Cadila,34,2026-08-18T01:03:21.192252,35,33.54192352,14.679245,35.92089844,34.22209549,59.56941605,16.31238937
OS004,Ondansetron,B001,Zydus Cadila,35,2026-08-18T01:03:21.835760,35,33.54192352,14.679245,35.92089844,33.29717636,59.56941605,16.31238937
OS004,Ondansetron,B001,Zydus Cadila,36,2026-08-18T01:03:22.478330,35,33.54192352,14.679245,35.92089844,33.29717636,59.56941605,16.31238937
OS004,Ondansetron,B001,Zydus Cadila,37,2026-08-18T01:03:23.121218,35,32.3853035,14.679245,35.92089844,34.22209549,60.45851517,17.17093658
OS004,Ondansetron,B001,Zydus Cadila,38,2026-08-18T01:03:23.754241,35,32.3853035,14.679245,35.92089844,33.29717636,61.34761047,17.17093658
OS004,Ondansetron,B001,Zydus Cadila,39,2026-08-18T01:03:24.397851,35,32.3853035,14.679245,35.92089844,33.29717636,61.34761047,17.17093658
OS004,Ondansetron,B001,Zydus Cadila,40,2026-08-18T01:03:25.039462,35,32.3853035,14.679245,35.92089844,34.22209549,60.45851517,17.17093658
OS005,Ondansetron,B001,Zydus Cadila,41,2026-08-18T01:03:25.683518,35,33.54192352,14.679245,35.92089844,33.29717636,59.56941605,16.31238937
OS005,Ondansetron,B001,Zydus Cadila,42,2026-08-18T01:03:26.328895,35,33.54192352,14.679245,35.92089844,33.29717636,59.56941605,16.31238937
OS005,Ondansetron,B001,Zydus Cadila,43,2026-08-18T01:03:26.972018,35,33.54192352,14.679245,36.91870117,33.29717636,59.56941605,16.31238937
OS005,Ondansetron,B001,Zydus Cadila,44,2026-08-18T01:03:27.603707,35,33.54192352,14.679245,35.92089844,34.22209549,59.56941605,16.31238937
OS005,Ondansetron,B001,Zydus Cadila,45,2026-08-18T01:03:28.237025,35,32.3853035,14.679245,35.92089844,33.29717636,61.34761047,17.17093658
OS005,Ondansetron,B001,Zydus Cadila,46,2026-08-18T01:03:28.879238,35,32.3853035,14.679245,36.91870117,33.29717636,61.34761047,17.17093658
OS005,Ondansetron,B001,Zydus Cadila,47,2026-08-18T01:03:29.518759,35,32.3853035,14.679245,35.92089844,33.29717636,59.56941605,16.31238937
OS005,Ondansetron,B001,Zydus Cadila,48,2026-08-18T01:03:30.152927,35,33.54192352,14.679245,36.91870117,33.29717636,59.56941605,16.31238937
OS005,Ondansetron,B001,Zydus Cadila,49,2026-08-18T01:03:30.786842,35,33.54192352,14.679245,36.91870117,34.22209549,59.56941605,16.31238937
OS005,Ondansetron,B001,Zydus Cadila,50,2026-08-18T01:03:31.430021,35,33.54192352,14.679245,35.92089844,34.22209549,60.45851517,17.17093658
OS006,Ondansetron,B001,Zydus Cadila,51,2026-08-18T01:03:32.075130,35,32.3853035,14.679245,35.92089844,33.29717636,61.34761047,17.17093658
OS006,Ondansetron,B001,Zydus Cadila,52,2026-08-18T01:03:32.720434,35,32.3853035,14.679245,36.91870117,33.29717636,61.34761047,17.17093658
OS006,Ondansetron,B001,Zydus Cadila,53,2026-08-18T01:03:33.355194,35,32.3853035,14.679245,35.92089844,33.29717636,59.56941605,16.31238937
OS006,Ondansetron,B001,Zydus Cadila,54,2026-08-18T01:03:34.000063,35,33.54192352,14.679245,35.92089844,33.29717636,59.56941605,16.31238937
OS006,Ondansetron,B001,Zydus Cadila,55,2026-08-18T01:03:34.639534,35,32.3853035,14.679245,35.92089844,33.29717636,60.45851517,17.17093658
