feature,anova_f,anova_p,variance
norm_450,4075.2458196679568,0.0,0.00015740878893006762
norm_500,105721.4364166454,0.0,0.0013948140868163227
norm_550,23957.532899672795,0.0,0.0010063442138343761
norm_570,14766.763959453718,0.0,0.0006326333419143385
norm_600,52479.278326050015,0.0,0.00332674057130297
norm_650,7759.486382151135,0.0,0.00020334244607369566
ratio_450_500,57525.86000748172,0.0,0.26681828245508016
ratio_500_550,38040.25853455366,0.0,0.01984940217259262
ratio_570_600,27758.270437427695,0.0,0.1069695777298124
ratio_600_650,13154.809010239322,0.0,0.3165518925422723
ratio_450_650,4425.298553936246,0.0,0.15353358697642777
diff_450_500,66593.39855262422,0.0,0.0021801550521297753
diff_570_600,43979.797756199165,0.0,0.006255614723267185
diff_500_550,22257.349888849083,0.0,0.0012430649649534371
slope_450_500,66593.39855261729,0.0,8.7206202085191e-07
diff_600_650,55740.64262257696,0.0,0.002356175306924536
slope_600_650,55740.64262257703,0.0,9.424701227698145e-07
slope_570_600,43979.79775619574,0.0,6.950683025852429e-06
slope_500_550,22257.34988885137,0.0,4.972259859813749e-07
diff_550_570,1074.5388548403325,1.3033163826770913e-248,0.00012024746821216997
slope_550_570,1074.5388548403278,1.3033163826782896e-248,3.006186705304249e-07
ratio_550_570,725.4412561375774,1.3273518694393133e-213,0.0023045104468449994
