feature,mutual_information
norm_600,1.589064806729823
diff_570_600,1.5885836653125431
ratio_570_600,1.586166577350438
ratio_600_650,1.5835237795542345
slope_570_600,1.582804879840471
diff_450_500,1.582144515812409
norm_500,1.5771982806594258
ratio_500_550,1.5762135289698087
norm_650,1.5757558813813848
slope_450_500,1.5741858229455727
ratio_450_500,1.573559800243336
norm_450,1.5467328134748444
ratio_450_650,1.5431446758741898
norm_550,1.5373913298191535
slope_550_570,1.5316268034060925
diff_550_570,1.5315976005660703
norm_570,1.5266885846048976
diff_600_650,1.5003170657085627
slope_600_650,1.497867220233187
ratio_550_570,1.488606086288669
slope_500_550,1.4371791010089334
diff_500_550,1.4367978633423277
