feature_set,model,accuracy,precision,recall,f1
normalized_ratios,Random Forest,0.8163265306122449,0.631888327721661,0.5653659611992945,0.5805597053636269
normalized_ratios_differences,Random Forest,0.8163265306122449,0.5930725382479769,0.5653659611992945,0.5686018919352253
all_features,Random Forest,0.8061224489795918,0.5929538297959351,0.5622795414462081,0.5669713305562363
normalized,Random Forest,0.8061224489795918,0.5621714218205447,0.5445326278659612,0.5438444271777605
all_features,SVM,0.7755102040816326,0.4204636997740446,0.3551587301587301,0.3620806277056277
normalized_ratios_differences,SVM,0.7755102040816326,0.4204636997740446,0.3551587301587301,0.3620806277056277
normalized_ratios,SVM,0.7755102040816326,0.4204636997740446,0.3551587301587301,0.3620806277056277
all_features,Logistic Regression,0.7040816326530612,0.31002816627816626,0.3492063492063492,0.3191746411483254
normalized_ratios_differences,Logistic Regression,0.6938775510204082,0.30457850840915357,0.34325396825396826,0.31281347962382444
normalized_ratios,Logistic Regression,0.6836734693877551,0.3005704365079365,0.33730158730158727,0.3073242544340445
normalized,SVM,0.7653061224489797,0.33396272511517516,0.3134920634920635,0.30447330447330445
normalized,Logistic Regression,0.6632653061224489,0.2169226606726607,0.23214285714285715,0.21712008739371924
